PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1lsXx,8/R4p1p/5k2/1p6/p2N1PP1/2n5/1r2PK2/8 b - - 0 43,b2b4 a7a6 f6e7 d4c6 e7d6 c6b4,2040,79,85,138,advantage discoveredAttack endgame exposedKing fork long,https://lichess.org/XXmRablx/black#86,
1lsYF,4R3/p5rk/1p1p4/6PP/5pK1/1P2pN2/P4r2/8 b - - 0 49,f2f3 g5g6 g7g6 h5g6 h7h6 g4f3,1623,76,96,680,crushing endgame exposedKing long rookEndgame,https://lichess.org/R7JK82Ew/black#98,
1lsaA,6k1/ppp1qpp1/7p/4R3/2r2P2/2P4P/PP1Q2P1/6K1 b - - 1 26,e7f6 e5e8 g8h7 d2d3 f6g6 d3c4,1373,220,47,24,advantage endgame fork long,https://lichess.org/cESi5EZc/black#52,
1lscM,8/P1R5/8/4K2k/5P2/r7/2p5/8 w - - 0 58,c7c3 a3c3 a7a8q c2c1q a8h8 h5g4,1755,278,82,2,advancedPawn crushing endgame hangingPiece long promotion rookEndgame,https://lichess.org/PlCbP2jf#115,
1lseO,6k1/5p1p/4pP2/p3P1P1/2pP4/P4Q2/1r5q/2R2K2 b - - 1 36,c4c3 f3a8 b2b8 a8b8,770,77,100,669,endgame mate mateIn2 short,https://lichess.org/OgwPyg9O/black#72,
1lshC,k2r3r/pp3pp1/1q3n1p/2np3P/5Q2/4BP2/P3NP2/K1R4R b - - 3 27,c5d3 e3b6 d3f4 b6d8,1327,78,78,215,advantage middlegame short,https://lichess.org/Ia6rJMlG/black#54,
1lsiG,r1b1k1nr/1p1p2pp/p3Bp2/8/1n1QPB2/2R2N2/Pq3PPP/5RK1 b kq - 0 13,d7e6 c3c8 a8c8 d4b2,1215,77,87,411,crushing discoveredAttack middlegame short,https://lichess.org/TeKfCkhP/black#26,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
1lsif,2r5/7p/3p1kp1/2Q1p3/6P1/5PN1/P4K1P/8 b - - 0 44,c8c5 g3e4 f6e6 e4c5,1060,84,65,54,crushing endgame fork short,https://lichess.org/3HxUA9bo/black#88,
1lsj9,4Q3/7k/p1p3p1/7p/4P3/1Pq5/P2r3P/1K3R2 w - - 1 36,f1f7 h7h6 e8f8 h6g5 f8e7 g5g4,1154,77,93,837,crushing defensiveMove endgame long,https://lichess.org/EdH06BA1#71,
1lsml,8/3p4/3Np1k1/2QpP3/3P2p1/1P2q3/PKP5/8 w - - 2 41,c5c3 e3c3 b2c3 g4g3,891,77,100,130,advantage endgame master short,https://lichess.org/BRc9un2l#81,
1lsv4,r4rk1/5ppp/p1p3q1/2pp4/3n2N1/6QP/PP3PP1/R1B2RK1 w - - 4 21,g3c3 d4e2 g1h1 e2c3,936,81,83,100,crushing fork middlegame short,https://lichess.org/oVlKkVgq#41,
1lszJ,8/1p6/1Pp2nk1/2Pp1p2/3P1PpK/3B4/8/8 b - - 15 50,f6h5 d3a6 g4g3 h4h3 b7a6 b6b7 h5f4 h3g3,2196,103,71,16,advancedPawn crushing endgame master sacrifice veryLong,https://lichess.org/as7j5Xjw/black#100,
1lszQ,3r1rk1/5pp1/R6p/8/2P5/1Pn1BQ1P/2q2PP1/R5K1 w - - 0 28,f3g3 c3e2 g1h2 e2g3,1155,74,88,482,advantage fork middlegame short,https://lichess.org/7QfDHIkQ#55,
1lszn,8/1R6/4pk2/3p4/8/7R/2r1r1PP/6K1 w - - 1 38,h3g3 c2c1,517,87,100,168,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/ocwnShYX#75,
